"U_year","sex","agegp","L_age","U_age","pop","U_yearBorn","initialPop","cumDeaths","remainingPop","PercentLiving"
1915,"1","00-04",0,4,386480,1915,386480,0,386480,100
1915,"1","05-09",5,9,372320,1910,NA,78983,NA,NA
1915,"1","10-14",10,14,352400,1905,NA,6360,NA,NA
1915,"1","15-19",15,19,323280,1900,NA,3609,NA,NA
1915,"1","20-24",20,24,275560,1895,NA,5101,NA,NA
1915,"1","25-29",25,29,266240,1890,NA,5933,NA,NA
1915,"1","30-34",30,34,264760,1885,NA,6511,NA,NA
1915,"1","35-39",35,39,250680,1880,NA,7707,NA,NA
1915,"1","40-44",40,44,224600,1875,NA,9342,NA,NA
1915,"1","45-49",45,49,190520,1870,NA,10472,NA,NA
1915,"1","50-54",50,54,160960,1865,NA,12163,NA,NA
1915,"1","55-59",55,59,128280,1860,NA,14206,NA,NA
1915,"1","60-64",60,64,100240,1855,NA,15996,NA,NA
1915,"1","65-69",65,69,76480,1850,NA,18571,NA,NA
1915,"1","70-74",70,74,49840,1845,NA,19863,NA,NA
1915,"1","75-79",75,79,26960,1840,NA,20638,NA,NA
1915,"1","80+",80,84,16280,1835,NA,16447,NA,NA
1915,"2","00-04",0,4,382440,1915,382440,0,382440,100
1915,"2","05-09",5,9,371800,1910,NA,65030,NA,NA
1915,"2","10-14",10,14,355960,1905,NA,6266,NA,NA
1915,"2","15-19",15,19,339800,1900,NA,3756,NA,NA
1915,"2","20-24",20,24,327760,1895,NA,4673,NA,NA
1915,"2","25-29",25,29,319280,1890,NA,5324,NA,NA
1915,"2","30-34",30,34,303680,1885,NA,5958,NA,NA
1915,"2","35-39",35,39,277360,1880,NA,6759,NA,NA
1915,"2","40-44",40,44,245920,1875,NA,8049,NA,NA
1915,"2","45-49",45,49,206520,1870,NA,8848,NA,NA
1915,"2","50-54",50,54,174840,1865,NA,10128,NA,NA
1915,"2","55-59",55,59,142120,1860,NA,11689,NA,NA
1915,"2","60-64",60,64,114560,1855,NA,13268,NA,NA
1915,"2","65-69",65,69,91440,1850,NA,15881,NA,NA
1915,"2","70-74",70,74,65600,1845,NA,18331,NA,NA
1915,"2","75-79",75,79,39240,1840,NA,22299,NA,NA
1915,"2","80+",80,84,27320,1835,NA,19842,NA,NA
1920,"1","00-04",0,4,345080,1920,345080,0,345080,100
1920,"1","05-09",5,9,366840,1915,386480,59345,327135,84.6447422893811
1920,"1","10-14",10,14,366760,1910,NA,85974,NA,NA
1920,"1","15-19",15,19,298640,1905,NA,10773,NA,NA
1920,"1","20-24",20,24,159320,1900,NA,10747,NA,NA
1920,"1","25-29",25,29,148080,1895,NA,13276,NA,NA
1920,"1","30-34",30,34,181120,1890,NA,14910,NA,NA
1920,"1","35-39",35,39,205040,1885,NA,15885,NA,NA
1920,"1","40-44",40,44,215160,1880,NA,17778,NA,NA
1920,"1","45-49",45,49,206240,1875,NA,20483,NA,NA
1920,"1","50-54",50,54,178600,1870,NA,23303,NA,NA
1920,"1","55-59",55,59,145760,1865,NA,26994,NA,NA
1920,"1","60-64",60,64,111560,1860,NA,30993,NA,NA
1920,"1","65-69",65,69,84000,1855,NA,35254,NA,NA
1920,"1","70-74",70,74,52120,1850,NA,40361,NA,NA
1920,"1","75-79",75,79,29280,1845,NA,40958,NA,NA
1920,"1","80+",80,84,17640,1840,NA,38986,NA,NA
1920,"2","00-04",0,4,340280,1920,340280,0,340280,100
1920,"2","05-09",5,9,364280,1915,382440,48353,334087,87.3567095492103
1920,"2","10-14",10,14,367440,1910,NA,71969,NA,NA
1920,"2","15-19",15,19,351720,1905,NA,10962,NA,NA
1920,"2","20-24",20,24,335240,1900,NA,10192,NA,NA
1920,"2","25-29",25,29,319840,1895,NA,12169,NA,NA
1920,"2","30-34",30,34,308480,1890,NA,13987,NA,NA
1920,"2","35-39",35,39,294120,1885,NA,14498,NA,NA
1920,"2","40-44",40,44,268240,1880,NA,15512,NA,NA
1920,"2","45-49",45,49,233720,1875,NA,17263,NA,NA
